,AM J PSYCHOL.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,BEHAV RES METHODS.csv,BRAIN LANG.csv,BRAIN RES.csv,BRIT J PSYCHOL.csv,CEREB CORTEX.csv,COGN LINGUIST.csv,COGN SYST RES.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT EDUC.csv,COMPUT HUM BEHAV.csv,CONTEMP EDUC PSYCHOL.csv,DEV PSYCHOL.csv,DEVELOPMENTAL SCI.csv,EDUC PSYCHOL REV.csv,ETR&D-EDUC TECH RES.csv,INT J HUM-COMPUT ST.csv,INT J SCI EDUC.csv,INTERACT STUD.csv,J CHILD LANG.csv,J COGNITIVE NEUROSCI.csv,J EDUC PSYCHOL.csv,J ENG EDUC.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL HUMAN.csv,J EXP PSYCHOL LEARN.csv,J LEARN SCI.csv,J MEM LANG.csv,J PERS SOC PSYCHOL.csv,LANG COGNITIVE PROC.csv,LEARN INSTR.csv,LECT NOTES ARTIF INT.csv,LECT NOTES COMPUT SC.csv,MED EDUC.csv,MEM COGNITION.csv,MIND MACH.csv,NATURE.csv,NEUROCOMPUTING.csv,P NATL ACAD SCI USA.csv,PHILOS T R SOC B.csv,PSYCHOL BULL.csv,PSYCHOL LEARN MOTIV.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,Q J EXP PSYCHOL.csv,REV SIGNOS.csv,SCIENCE.csv,THINK REASONING.csv,TRENDS COGN SCI.csv
COGNITIVE PSYCHOL.csv,3.0,0.0,17.0,10.0,4.0,0.0,6.0,8.0,0.0,0.0,59.0,66.0,12.0,0.0,0.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,7.0,0.0,30.0,20.0,44.0,0.0,64.0,9.0,10.0,0.0,0.0,0.0,0.0,31.0,0.0,8.0,0.0,12.0,0.0,15.0,2.0,78.0,22.0,22.0,2.0,0.0,21.0,9.0,15.0
COGNITIVE SCI.csv,11.0,17.0,37.0,9.0,9.0,0.0,4.0,3.0,0.0,6.0,73.0,38.0,73.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,16.0,12.0,3.0,0.0,31.0,22.0,47.0,3.0,40.0,11.0,10.0,3.0,3.0,0.0,0.0,37.0,0.0,20.0,0.0,15.0,2.0,25.0,12.0,74.0,24.0,14.0,0.0,0.0,20.0,3.0,19.0
COMPUT EDUC.csv,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,169.0,46.0,6.0,0.0,0.0,3.0,17.0,24.0,14.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,2.0,13.0,0.0,11.0,0.0,10.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
COMPUT HUM BEHAV.csv,0.0,12.0,2.0,27.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,8.0,17.0,53.0,338.0,9.0,7.0,0.0,12.0,27.0,53.0,6.0,0.0,0.0,0.0,43.0,0.0,4.0,0.0,10.0,8.0,2.0,122.0,0.0,28.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,16.0,11.0,4.0,0.0,0.0,6.0,0.0,0.0
CONTEMP EDUC PSYCHOL.csv,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,63.0,12.0,0.0,32.0,3.0,2.0,5.0,0.0,0.0,0.0,161.0,0.0,2.0,2.0,2.0,0.0,6.0,29.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
DEV PSYCHOL.csv,4.0,0.0,20.0,3.0,0.0,2.0,4.0,2.0,3.0,0.0,128.0,53.0,13.0,0.0,0.0,0.0,501.0,70.0,3.0,0.0,0.0,0.0,0.0,37.0,11.0,37.0,0.0,13.0,16.0,12.0,0.0,15.0,114.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,13.0,4.0,139.0,5.0,60.0,78.0,8.0,0.0,0.0,34.0,0.0,21.0
DEVELOPMENTAL SCI.csv,4.0,2.0,36.0,3.0,19.0,7.0,8.0,14.0,0.0,0.0,147.0,44.0,31.0,0.0,0.0,0.0,156.0,157.0,0.0,0.0,0.0,0.0,0.0,42.0,33.0,6.0,0.0,17.0,22.0,11.0,0.0,14.0,10.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,44.0,0.0,46.0,12.0,20.0,3.0,71.0,73.0,12.0,0.0,0.0,88.0,0.0,75.0
EDUC PSYCHOL REV.csv,5.0,2.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,11.0,27.0,16.0,13.0,31.0,6.0,0.0,34.0,4.0,6.0,3.0,0.0,0.0,0.0,163.0,0.0,12.0,3.0,14.0,18.0,5.0,32.0,0.0,23.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,41.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0
ETR&D-EDUC TECH RES.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,10.0,9.0,5.0,2.0,0.0,22.0,94.0,3.0,7.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,41.0,0.0,4.0,0.0,18.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
INT J HUM-COMPUT ST.csv,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,13.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,3.0,0.0,2.0,36.0,0.0,8.0,3.0,11.0,0.0,2.0,0.0,5.0,0.0,7.0,0.0,14.0,0.0,11.0,6.0,2.0,0.0,0.0,11.0,0.0,0.0
INT J SCI EDUC.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,297.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,19.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0
